date,temperature,humidity,pressure,wind_speed
2025-08-16,28.5,80,950.3,4.7
2025-08-17,27.4,83,951.9,8.1
2025-08-18,25.6,90,954.1,5.0
2025-08-19,25.9,84,953.3,5.5
2025-08-20,27.8,75,952.1,4.3
2025-08-21,28.6,74,952.2,6.1
2025-08-22,29.7,69,948.7,5.0
2025-08-23,28.3,76,948.6,9.9
2025-08-24,25.4,85,951.6,8.0
2025-08-25,26.3,80,951.7,6.9
2025-08-26,26.8,76,951.6,7.4
2025-08-27,26.6,76,952.9,4.5
2025-08-28,28.3,76,951.2,3.8
2025-08-29,29.3,74,951.8,10.0
2025-08-30,27.1,80,954.9,5.9
2025-08-31,26.4,81,952.3,7.1
2025-09-01,25.8,81,949.9,5.3
2025-09-02,25.8,77,951.4,8.4
2025-09-03,25.6,75,954.0,7.7
2025-09-04,26.5,75,955.2,5.1
2025-09-05,27.4,76,954.6,3.1
2025-09-06,28.7,71,954.7,5.2
2025-09-07,26.7,77,954.8,6.9
2025-09-08,26.8,77,954.9,5.0
2025-09-09,27.8,72,955.9,3.9
2025-09-10,28.2,71,954.1,3.5
2025-09-11,28.7,69,952.7,7.6
2025-09-12,28.9,74,954.3,6.6
2025-09-13,29.1,73,955.0,5.2
2025-09-14,29.5,70,954.4,8.1
2025-09-15,29.8,69,952.4,7.5
2025-09-16,27.4,75,953.0,5.4
2025-09-17,28.4,70,953.7,5.3
2025-09-18,26.5,75,954.1,7.2
2025-09-19,26.7,74,955.0,5.5
2025-09-20,27.4,69,954.5,4.1
2025-09-21,27.1,66,953.0,3.6
2025-09-22,28.1,65,953.5,6.0
2025-09-23,28.3,65,953.2,4.7
2025-09-24,28.3,64,951.8,3.5
2025-09-25,26.3,71,953.5,7.0
2025-09-26,25.4,71,955.0,5.4
2025-09-27,26.0,64,956.9,4.2
2025-09-28,26.5,62,955.8,3.6
2025-09-29,26.5,64,954.2,4.1
2025-09-30,26.3,61,952.0,3.5
2025-10-01,25.9,66,952.4,6.3
2025-10-02,25.6,72,955.7,5.7
2025-10-03,23.8,73,960.0,8.7
2025-10-04,23.4,73,957.3,4.4
2025-10-05,22.1,70,955.9,8.6
2025-10-06,17.7,83,958.1,7.9
2025-10-07,17.9,78,959.3,4.9
2025-10-08,19.8,68,960.3,4.9
2025-10-09,20.9,62,961.2,3.6
2025-10-10,20.8,64,959.3,4.5
2025-10-11,21.3,61,960.1,5.0
2025-10-12,21.0,56,958.9,4.1
2025-10-13,21.3,60,959.5,3.3
2025-10-14,22.1,66,958.5,4.8
2025-10-15,22.4,68,959.4,3.8
2025-10-16,22.0,69,959.3,3.7
2025-10-17,22.5,67,960.6,3.1
2025-10-18,22.4,66,960.0,2.8
2025-10-19,22.8,62,959.8,2.9
2025-10-20,22.0,58,959.8,2.4
2025-10-21,21.4,59,961.7,3.8
2025-10-22,20.9,57,961.6,4.1
2025-10-23,20.8,51,960.5,4.0
2025-10-24,20.9,51,960.4,2.4
2025-10-25,20.9,55,959.9,3.4
2025-10-26,20.4,57,960.5,4.0
2025-10-27,20.3,57,960.9,3.5
2025-10-28,21.0,57,961.9,3.8
2025-10-29,20.8,60,960.8,3.4
2025-10-30,20.1,61,960.1,4.3
2025-10-31,20.1,55,958.6,3.3
2025-11-01,20.2,59,959.0,2.8
2025-11-02,19.7,57,958.8,4.3
2025-11-03,18.6,57,956.2,4.4
2025-11-04,17.0,73,956.5,12.2
2025-11-05,15.1,71,960.2,5.3
2025-11-06,15.1,64,960.7,4.7
2025-11-07,15.3,52,961.3,4.2
2025-11-08,15.3,54,962.1,2.6
2025-11-09,15.2,55,960.8,3.5
2025-11-10,15.4,51,960.4,2.8
2025-11-11,15.2,54,962.0,3.2
2025-11-12,14.8,55,962.3,2.9
2025-11-13,14.9,56,963.5,3.2
2025-11-14,14.4,52,963.3,2.9
2025-11-15,13.8,54,964.4,3.0
2025-11-16,14.0,56,965.9,3.2
2025-11-17,14.1,61,964.6,3.4
2025-11-18,14.0,65,964.1,3.7
2025-11-19,14.3,62,963.3,2.6
2025-11-20,13.9,65,963.8,3.0
2025-11-21,14.6,63,965.5,3.4
